"reference_id","citation_key","citation_aliases","authors","year","title","publication","volume","issue","pages","doi","hyperlink","formatted_reference","reference_type","metadata_source","source_types","core_criteria","related_criteria","model_applications","glossary_terms","landing_sections","match_status","review_notes"
"araujo_2005","Araújo et al. 2005","Araújo et al. 2005","Araújo, Miguel B., Richard G. Pearson, et al.","2005","Validation of Species–Climate Impact Models under Climate Change","Global Change Biology","11","9","1504–13","10.1111/j.1365-2486.2005.01000.x","https://doi.org/10.1111/j.1365-2486.2005.01000.x","Araújo, Miguel B., Richard G. Pearson, et al. “Validation of Species–Climate Impact Models under Climate Change.” Global Change Biology, vol. 11, no. 9, 2005, pp. 1504–13, https://doi.org/10.1111/j.1365-2486.2005.01000.x.","journal-article","Zotero bibliography","Core criterion; Related criterion","Projection 34: Model transferability is accurate","Prediction 32: Model training and validation datasets are appropriate; Projection 32: Model training and validation datasets are appropriate","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"araujo_2019","Araújo et al. 2019","Araujo et al. (2019) | Araújo et al. 2019","Araújo, Miguel B., Robert P. Anderson, et al.","2019","Standards for Distribution Models in Biodiversity Assessments","Science Advances","5","1","Anderson","10.1126/sciadv.aat4858","https://doi.org/10.1126/sciadv.aat4858","Araújo, Miguel B., Robert P. Anderson, et al. “Standards for Distribution Models in Biodiversity Assessments.” Science Advances, vol. 5, no. 1, Jan. 2019, p. eaat4858. science.org (Atypon), https://doi.org/10.1126/sciadv.aat4858.","journal-article","Zotero bibliography","Core criterion; Glossary; Related criterion","Prediction 10: Species data covers the environmental extent; Prediction 16.1: Predictors resolution matches response scale (spatial); Prediction 16.2: Predictors resolution matches response scale (temporal); Prediction 19: Uncertainty in predictor variables is accounted for; Prediction 21.1: Model complexity and structure are appropriate (under fit models); Prediction 23: Collinearity in predictors is treated; Prediction 24: Modelling and parameter uncertainty are dealt with; Prediction 30: Performance/evaluation metrics are appropriate; Prediction 7: Correct taxonomic identification; Prediction 8: Lack of spatial positional error; Projection 10: Species data covers the environmental extent; Projection 16.1: Predictors resolution matches response scale (spatial); Projection 16.2: Predictors resolution matches response scale (temporal); Projection 19: Uncertainty in predictor variables is accounted for; Projection 21.1: Model complexity and structure are appropriate (under fit models); Projection 24: Modelling and parameter uncertainty are dealt with; Projection 30: Performance/evaluation metrics are appropriate; Projection 7: Correct taxonomic identification; Projection 8: Lack of spatial positional error","Prediction 11: Species data covers the geographic extent; Prediction 15: Predictors spatial resolution matches species data; Prediction 17: Predictors are relevant for the species response; Prediction 18: All predictors relevant for the species response are included; Prediction 22: Biases and noise in species datasets are treated ; Prediction 25: Training samples are representative; Prediction 28: Background points or pseduo-absences are appropriate; Prediction 29: Predictor variables are appropriately reduced, if applicable; Prediction 32: Model training and validation datasets are appropriate; Prediction 4.2: Eltonian noise (negative interactions); Prediction 9: Unbiased species data; Projection 11: Species data covers the geographic extent; Projection 15: Predictors spatial resolution matches species data; Projection 17: Predictors are relevant for the species response; Projection 18: All predictors relevant for the species response are included; Projection 20: Non-novel conditions; Projection 22: Biases and noise in species datasets are treated ; Projection 23: Collinearity in predictors is treated; Projection 25: Training samples are representative; Projection 28: Background points or pseduo-absences are appropriate; Projection 29: Predictor variables are appropriately reduced, if applicable; Projection 32: Model training and validation datasets are appropriate; Projection 4.2: Eltonian noise (negative interactions); Projection 9: Unbiased species data","","Criteria; Explanation (Hypothesis testing); Model type; Predictions (spatially explicit); Projection (Extrapolation)","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"aubry_2017","Aubry et al. 2017","Aubry et al. 2017","Aubry, Keith B., et al.","2017","The Importance of Data Quality for Generating Reliable Distribution Models for Rare, Elusive, and Cryptic Species","PLOS ONE","12","6","1–17","10.1371/journal.pone.0179152","https://doi.org/10.1371/journal.pone.0179152","Aubry, Keith B., et al. “The Importance of Data Quality for Generating Reliable Distribution Models for Rare, Elusive, and Cryptic Species.” PLOS ONE, vol. 12, no. 6, June 2017, pp. 1–17, https://doi.org/10.1371/journal.pone.0179152.","journal-article","Zotero bibliography","Core criterion","Prediction 7: Correct taxonomic identification; Projection 7: Correct taxonomic identification","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"austin_2002","Austin 2002","Austin 2002","Austin, M. P.","2002","Spatial Prediction of Species Distribution: An Interface between Ecological Theory and Statistical Modelling","Ecological Modelling","157","2","“Spatial Prediction of Species Distribution: An Interface between Ecological Theory and Statistical Modelling","10.1016/S0304-3800(02)00205-3","https://doi.org/10.1016/S0304-3800(02)00205-3","Austin, M. P. “Spatial Prediction of Species Distribution: An Interface between Ecological Theory and Statistical Modelling.” Ecological Modelling, vol. 157, no. 2, 2002, pp. 101–18, https://doi.org/10.1016/S0304-3800(02)00205-3.","journal-article","Zotero bibliography","Related criterion","","Prediction 27: Shape of the species and predictors relationships is appropriate ; Projection 27: Shape of the species and predictors relationships is appropriate","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"barber_2021","Barber et al. 2021","Barber et al. 2021","","2021","","","","","","","https://search.crossref.org/?q=Barber%20et%20al.%202021","","","Unresolved","Related criterion","","Prediction 9: Unbiased species data; Projection 9: Unbiased species data","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"barbet_massin_2012","Barbet-Massin et al. 2012","Barbet-Massin et al. 2012","Barbet-Massin, Morgane, et al.","2012","Selecting Pseudo-Absences for Species Distribution Models: How, Where and How Many?","Methods in Ecology and Evolution","3","2","327–38","10.1111/j.2041-210X.2011.00172.x","https://doi.org/10.1111/j.2041-210X.2011.00172.x","Barbet-Massin, Morgane, et al. “Selecting Pseudo-Absences for Species Distribution Models: How, Where and How Many?” Methods in Ecology and Evolution, vol. 3, no. 2, 2012, pp. 327–38, https://doi.org/10.1111/j.2041-210X.2011.00172.x.","journal-article","Zotero bibliography","Related criterion","","Prediction 28: Background points or pseduo-absences are appropriate; Projection 28: Background points or pseduo-absences are appropriate","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"barbosa_2001","Barbosa et al. 2001","Barbosa et al. 2001","Barbosa, Ana Márcia, et al.","2001","Spatial, Environmental and Human Influences on the Distribution of Otter (Lutra Lutra) in the Spanish Provinces","Diversity and Distributions","7","3","137–44","10.1046/j.1472-4642.2001.00104.x","https://doi.org/10.1046/j.1472-4642.2001.00104.x","Barbosa, Ana Márcia, et al. “Spatial, Environmental and Human Influences on the Distribution of Otter (Lutra Lutra) in the Spanish Provinces.” Diversity and Distributions, vol. 7, no. 3, 2001, pp. 137–44, https://doi.org/10.1046/j.1472-4642.2001.00104.x.","journal-article","Zotero bibliography","Related criterion","","Prediction 17: Predictors are relevant for the species response; Projection 17: Predictors are relevant for the species response","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"barry_2006","Barry & Elith 2006","Barry & Elith 2006","Barry, Simon, and Jane Elith.","2006","Error and Uncertainty in Habitat Models","Journal of Applied Ecology","43","3","413–23","10.1111/j.1365-2664.2006.01136.x","https://doi.org/10.1111/j.1365-2664.2006.01136.x","Barry, Simon, and Jane Elith. “Error and Uncertainty in Habitat Models.” Journal of Applied Ecology, vol. 43, no. 3, 2006, pp. 413–23, https://doi.org/10.1111/j.1365-2664.2006.01136.x.","journal-article","Zotero bibliography","Core criterion; Related criterion","Prediction 19: Uncertainty in predictor variables is accounted for; Projection 19: Uncertainty in predictor variables is accounted for","Projection 20: Non-novel conditions","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"batalden_2007","Batalden et al. 2007","Batalden et al. 2007","Batalden, Rebecca V., et al.","2007","Ecological Niches in Sequential Generations of Eastern North American Monarch Butterflies (Lepidoptera: Danaidae): The Ecology of Migration and Likely Climate Change Implications","Environmental Entomology","36","6","1365–73","10.1603/0046-225X(2007)36%255B1365:ENISGO%255D2.0.CO;2","https://doi.org/10.1603/0046-225X(2007)36%255B1365:ENISGO%255D2.0.CO;2","Batalden, Rebecca V., et al. “Ecological Niches in Sequential Generations of Eastern North American Monarch Butterflies (Lepidoptera: Danaidae): The Ecology of Migration and Likely Climate Change Implications.” Environmental Entomology, vol. 36, no. 6, Dec. 2007, pp. 1365–73, https://doi.org/10.1603/0046-225X(2007)36%255B1365:ENISGO%255D2.0.CO;2.","journal-article","Zotero bibliography","Core criterion","Prediction 16.2: Predictors resolution matches response scale (temporal); Projection 16.2: Predictors resolution matches response scale (temporal)","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"bazzichetto_2023","Bazzichetto et al. 2023","Bazzichetto et al. 2023","","2023","","","","","","","https://search.crossref.org/?q=Bazzichetto%20et%20al.%202023","","","Unresolved","Related criterion","","Prediction 12: Species data sample size is appropriate; Projection 12: Species data sample size is appropriate","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"beale_2011","Beale & Lennon 2011","Beale & Lennon 2011","Beale, Colin M., and Jack J. Lennon.","2012","Incorporating Uncertainty in Predictive Species Distribution Modelling","Philosophical Transactions: Biological Sciences","367","1586","247–58","","https://www.jstor.org/stable/23076314","Beale, Colin M., and Jack J. Lennon. “Incorporating Uncertainty in Predictive Species Distribution Modelling.” Philosophical Transactions: Biological Sciences, vol. 367, no. 1586, 2012, pp. 247–58. JSTOR, https://www.jstor.org/stable/23076314.","journal-article","Zotero bibliography","Core criterion","Prediction 24: Modelling and parameter uncertainty are dealt with; Projection 24: Modelling and parameter uncertainty are dealt with","","","","","probable_zotero_match_review","Probable Zotero match. The app source cites ""Beale & Lennon 2011""; Zotero gives first author ""Beale"" and publication year 2012. Confirm the author/year and update the source citation if appropriate."
"benito_2013","Benito et al. 2013","Benito et al. 2013","Benito, Blas M., et al.","2013","The Impact of Modelling Choices in the Predictive Performance of Richness Maps Derived from Species-Distribution Models: Guidelines to Build Better Diversity Models","Methods in Ecology and Evolution","4","4","327–35","10.1111/2041-210x.12022","https://doi.org/10.1111/2041-210x.12022","Benito, Blas M., et al. “The Impact of Modelling Choices in the Predictive Performance of Richness Maps Derived from Species-Distribution Models: Guidelines to Build Better Diversity Models.” Methods in Ecology and Evolution, vol. 4, no. 4, 2013, pp. 327–35, https://doi.org/10.1111/2041-210x.12022.","journal-article","Zotero bibliography","Core criterion","Prediction 31: Setting an appropriate threshold, if applicable; Projection 31: Setting an appropriate threshold, if applicable","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"boulangeat_2012","Boulangeat et al. 2012","Boulangeat et al. 2012","Boulangeat, Isabelle, et al.","2012","Accounting for Dispersal and Biotic Interactions to Disentangle the Drivers of Species Distributions and Their Abundances","Ecology Letters","15","6","584–93","10.1111/j.1461-0248.2012.01772.x","https://doi.org/10.1111/j.1461-0248.2012.01772.x","Boulangeat, Isabelle, et al. “Accounting for Dispersal and Biotic Interactions to Disentangle the Drivers of Species Distributions and Their Abundances.” Ecology Letters, vol. 15, no. 6, 2012, pp. 584–93, https://doi.org/10.1111/j.1461-0248.2012.01772.x.","journal-article","Zotero bibliography","Core criterion","Prediction 21.2: Model complexity and structure are appropriate (over fit models); Prediction 4.1: Eltonian noise (positive interactions); Projection 21.2: Model complexity and structure are appropriate (over fit models); Projection 4.1: Eltonian noise (positive interactions)","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"boutin_2012","Boutin et al. 2012","Boutin et al. 2012","Boutin, Stan, et al.","2012","Why Are Caribou Declining in the Oil Sands?","Frontiers in Ecology and the Environment","10","2","65–67","10.1890/12.WB.005","https://doi.org/10.1890/12.WB.005","Boutin, Stan, et al. “Why Are Caribou Declining in the Oil Sands?” Frontiers in Ecology and the Environment, vol. 10, no. 2, 2012, pp. 65–67, https://doi.org/10.1890/12.WB.005.","journal-article","Zotero bibliography","Core criterion","Prediction 21.2: Model complexity and structure are appropriate (over fit models); Prediction 4.1: Eltonian noise (positive interactions); Projection 21.2: Model complexity and structure are appropriate (over fit models); Projection 4.1: Eltonian noise (positive interactions)","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"bowler_2024","Bowler et al. 2024","Bowler et al. 2024","Bowler, Diana E., et al.","2025","Treating Gaps and Biases in Biodiversity Data as a Missing Data Problem","Biological Reviews","100","1","50–67","10.1111/brv.13127","https://doi.org/10.1111/brv.13127","Bowler, Diana E., et al. “Treating Gaps and Biases in Biodiversity Data as a Missing Data Problem.” Biological Reviews, vol. 100, no. 1, 2025, pp. 50–67. Wiley Online Library, https://doi.org/10.1111/brv.13127.","journal-article","Zotero bibliography","Related criterion","","Prediction 12: Species data sample size is appropriate; Projection 12: Species data sample size is appropriate","","","","probable_zotero_match_review","Probable Zotero match. The app source cites ""Bowler et al. 2024""; Zotero gives first author ""Bowler"" and publication year 2025. Confirm the author/year and update the source citation if appropriate."
"bradter_2012","Bradter et al. 2012","Bradter et al. 2012","","2012","","","","","","","https://search.crossref.org/?q=Bradter%20et%20al.%202012","","","Unresolved","Core criterion","Prediction 16.1: Predictors resolution matches response scale (spatial); Prediction 16.2: Predictors resolution matches response scale (temporal); Projection 16.1: Predictors resolution matches response scale (spatial); Projection 16.2: Predictors resolution matches response scale (temporal)","","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"braunisch_2013","Braunisch et al. 2013","Braunisch et al. 2013","Braunisch, Veronika, et al.","2013","Selecting from Correlated Climate Variables: A Major Source of Uncertainty for Predicting Species Distributions under Climate Change","Ecography","36","9","971–83","10.1111/j.1600-0587.2013.00138.x","https://doi.org/10.1111/j.1600-0587.2013.00138.x","Braunisch, Veronika, et al. “Selecting from Correlated Climate Variables: A Major Source of Uncertainty for Predicting Species Distributions under Climate Change.” Ecography, vol. 36, no. 9, 2013, pp. 971–83, https://doi.org/10.1111/j.1600-0587.2013.00138.x.","journal-article","Zotero bibliography","Core criterion","Prediction 21.1: Model complexity and structure are appropriate (under fit models); Projection 21.1: Model complexity and structure are appropriate (under fit models); Projection 21.2: Model complexity and structure are appropriate (over fit models)","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"brodie_2022","Brodie et al. 2022","Brodie et al. 2022","","2022","","","","","","","https://search.crossref.org/?q=Brodie%20et%20al.%202022","","","Unresolved","Core criterion","Prediction 24: Modelling and parameter uncertainty are dealt with; Projection 24: Modelling and parameter uncertainty are dealt with","","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"brown_2013","Brown et al. 2013","Brown et al. 2013","","2013","","","","","","","https://search.crossref.org/?q=Brown%20et%20al.%202013","","","Unresolved","Model application","","","Data gap identification; Information-gain allocation","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"brun_2019","Brun et al. 2019","Brun et al. 2019","Brun, Philipp, et al.","2020","Model Complexity Affects Species Distribution Projections under Climate Change","Journal of Biogeography","47","1","130–42","10.1111/jbi.13734","https://doi.org/10.1111/jbi.13734","Brun, Philipp, et al. “Model Complexity Affects Species Distribution Projections under Climate Change.” Journal of Biogeography, vol. 47, no. 1, 2020, pp. 130–42, https://doi.org/10.1111/jbi.13734.","journal-article","Zotero bibliography","Core criterion","Prediction 21.1: Model complexity and structure are appropriate (under fit models); Projection 21.1: Model complexity and structure are appropriate (under fit models); Projection 21.2: Model complexity and structure are appropriate (over fit models)","","","","","probable_zotero_match_review","Probable Zotero match. The app source cites ""Brun et al. 2019""; Zotero gives first author ""Brun"" and publication year 2020. Confirm the author/year and update the source citation if appropriate."
"bryn_2021","Bryn et al. 2021","Bryn et al. 2021","Bryn, Anders, et al.","2021","Reliability in Distribution Modeling—A Synthesis and Step-by-Step Guidelines for Improved Practice","Frontiers in Ecology and Evolution","","","","10.3389/fevo.2021.658713","https://doi.org/10.3389/fevo.2021.658713","Bryn, Anders, et al. “Reliability in Distribution Modeling—A Synthesis and Step-by-Step Guidelines for Improved Practice.” Frontiers in Ecology and Evolution, Volume 9-2021, 2021, https://doi.org/10.3389/fevo.2021.658713.","journal-article","Zotero bibliography","Core criterion; Related criterion","Prediction 2: Niche stability","Prediction 6: Understanding the ecological processes driving species distribution and abundances; Projection 6: Understanding the ecological processes driving species distribution and abundances","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"buisson_2010","Buisson et al. 2010","Buisson et al. 2010","Buisson, LAËTITIA, et al.","2010","Uncertainty in Ensemble Forecasting of Species Distribution","Global Change Biology","16","4","1145–57","10.1111/j.1365-2486.2009.02000.x","https://doi.org/10.1111/j.1365-2486.2009.02000.x","Buisson, LAËTITIA, et al. “Uncertainty in Ensemble Forecasting of Species Distribution.” Global Change Biology, vol. 16, no. 4, 2010, pp. 1145–57, https://doi.org/10.1111/j.1365-2486.2009.02000.x.","journal-article","Zotero bibliography","Core criterion","Prediction 24: Modelling and parameter uncertainty are dealt with; Projection 24: Modelling and parameter uncertainty are dealt with","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"chardon_2019","Chardon et al. 2019","Chardon et al. 2019","","2019","","","","","","","https://search.crossref.org/?q=Chardon%20et%20al.%202019","","","Unresolved","Related criterion","","Prediction 5: Genotype and phenotype stability","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"charney_2021","Charney et al. 2021","Charney et al. 2021","Charney, Noah D., et al.","2021","A Test of Species Distribution Model Transferability Across Environmental and Geographic Space for 108 Western North American Tree Species","Frontiers in Ecology and Evolution","","","","10.3389/fevo.2021.689295","https://doi.org/10.3389/fevo.2021.689295","Charney, Noah D., et al. “A Test of Species Distribution Model Transferability Across Environmental and Geographic Space for 108 Western North American Tree Species.” Frontiers in Ecology and Evolution, Volume 9-2021, 2021, https://doi.org/10.3389/fevo.2021.689295.","journal-article","Zotero bibliography","Core criterion","Projection 34: Model transferability is accurate","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"chauvier_2022","Chauvier et al. 2022","Chauvier et al. 2022","Chauvier, Yohann, et al.","2022","Resolution in Species Distribution Models Shapes Spatial Patterns of Plant Multifaceted Diversity","Ecography","2022","10","e05973","10.1111/ecog.05973","https://doi.org/10.1111/ecog.05973","Chauvier, Yohann, et al. “Resolution in Species Distribution Models Shapes Spatial Patterns of Plant Multifaceted Diversity.” Ecography, vol. 2022, no. 10, 2022, p. e05973, https://doi.org/10.1111/ecog.05973.","journal-article","Zotero bibliography","Core criterion","Prediction 16.1: Predictors resolution matches response scale (spatial); Projection 16.1: Predictors resolution matches response scale (spatial)","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"cheaib_2012","Cheaib et al. 2012","Cheaib et al. 2012","Cheaib, Alissar, et al.","2012","Climate Change Impacts on Tree Ranges: Model Intercomparison Facilitates Understanding and Quantification of Uncertainty","Ecology Letters","15","6","533–44","10.1111/j.1461-0248.2012.01764.x","https://doi.org/10.1111/j.1461-0248.2012.01764.x","Cheaib, Alissar, et al. “Climate Change Impacts on Tree Ranges: Model Intercomparison Facilitates Understanding and Quantification of Uncertainty.” Ecology Letters, vol. 15, no. 6, 2012, pp. 533–44, https://doi.org/10.1111/j.1461-0248.2012.01764.x.","journal-article","Zotero bibliography","Core criterion","Prediction 19: Uncertainty in predictor variables is accounted for; Projection 19: Uncertainty in predictor variables is accounted for","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
