Application,Application_category,Description,Example citation,Citation URL
Intraspecific distribution or niche change assessment,"Assess, describe, or interpret","Aggregate projected changes for populations, lineages, or intraspecific units to estimate scalar changes in suitable area, exposure, or distribution.",Araújo & Peterson 2012. Uses and misuses of bioclimatic envelope modeling. Ecology.,https://doi.org/10.1890/11-1930.1
Niche estimation,"Assess, describe, or interpret","Estimate and interpret environmental associations, niche breadth, response curves, or realized niche characteristics.","Elith & Leathwick 2009. Species distribution models: ecological explanation and prediction across space and time. Annual Review of Ecology, Evolution, and Systematics.",https://doi.org/10.1146/annurev.ecolsys.110308.120159
Protected-area coverage assessment,"Assess, describe, or interpret","Summarize predicted habitat, abundance, richness, or range coverage inside protected areas to estimate scalar coverage or efficiency metrics.",Jetz et al. 2019. Essential biodiversity variables for mapping and monitoring species populations. Nature Ecology & Evolution.,https://doi.org/10.1038/s41559-019-0826-1
Site productivity assessment,"Assess, describe, or interpret","Aggregate or summarize predicted productivity into a scalar estimate for a site, unit, or scenario.","Thorson 2019. Guidance for decisions using the Vector Autoregressive Spatio-Temporal package in stock, ecosystem, habitat and climate assessments. Fisheries Research.",https://doi.org/10.1016/j.fishres.2018.10.013
Source-sink habitat description,"Assess, describe, or interpret","Use predicted habitat, abundance, productivity, or demographic correlates to describe potential source-like and sink-like habitat patterns.","Elith & Leathwick 2009. Species distribution models: ecological explanation and prediction across space and time. Annual Review of Ecology, Evolution, and Systematics.",https://doi.org/10.1146/annurev.ecolsys.110308.120159
Spatial genetic structure and niche investigation,"Assess, describe, or interpret","Relate genetic structure, lineages, or diversity patterns to environmental suitability or predicted distributions.","Alvarado-Serrano & Knowles 2014. Ecological niche models in phylogeographic studies: applications, advances and precautions. Molecular Ecology Resources.",https://doi.org/10.1111/1755-0998.12254
Species abundance or density assessment,"Assess, describe, or interpret","Aggregate a predicted density or abundance surface into a scalar total, mean density, or regional abundance estimate with uncertainty.",Shelton et al. 2014. Spatial semiparametric models improve estimates of species abundance and distribution. Canadian Journal of Fisheries and Aquatic Sciences.,https://doi.org/10.1139/cjfas-2013-0508
Species co-occurrence description,"Assess, describe, or interpret","Model or describe co-occurrence patterns, shared suitability, or overlap among species to infer community or interaction patterns.","Elith & Leathwick 2009. Species distribution models: ecological explanation and prediction across space and time. Annual Review of Ecology, Evolution, and Systematics.",https://doi.org/10.1146/annurev.ecolsys.110308.120159
Species distribution mapping for description,"Assess, describe, or interpret",Generate and interpret a spatial prediction of distribution or habitat as a descriptive endpoint or communication product.,Sofaer et al. 2019. Development and delivery of species distribution models to inform decision-making. BioScience.,https://doi.org/10.1093/biosci/biz045
Stock assessment,"Assess, describe, or interpret","Summarize spatiotemporal density, biomass, abundance, or catch-rate predictions into scalar stock indices or abundance estimates with uncertainty.","Thorson 2019. Guidance for decisions using the Vector Autoregressive Spatio-Temporal package in stock, ecosystem, habitat and climate assessments. Fisheries Research.",https://doi.org/10.1016/j.fishres.2018.10.013
Suitable habitat prediction for status assessment,"Assess, describe, or interpret","Summarize predicted suitable habitat into a scalar status-relevant estimate such as area, trend, or proportion protected.",Syfert et al. 2014. Using species distribution models to inform IUCN Red List assessments. Biological Conservation.,https://doi.org/10.1016/j.biocon.2014.06.012
Suture zone or contact zone description,"Assess, describe, or interpret","Use distribution, niche, or lineage models to describe contact zones, environmental transitions, or potential hybrid zones.","Alvarado-Serrano & Knowles 2014. Ecological niche models in phylogeographic studies: applications, advances and precautions. Molecular Ecology Resources.",https://doi.org/10.1111/1755-0998.12254
Trend estimation,"Assess, describe, or interpret","Aggregate predictions across time to estimate scalar trends in abundance, occupied area, suitable habitat, or biodiversity indicators.","Thorson 2019. Guidance for decisions using the Vector Autoregressive Spatio-Temporal package in stock, ecosystem, habitat and climate assessments. Fisheries Research.",https://doi.org/10.1016/j.fishres.2018.10.013
Vulnerability assessment,"Assess, describe, or interpret","Aggregate exposure, sensitivity, distribution change, or abundance change into a scalar vulnerability estimate for a species, unit, or scenario.",Porfirio et al. 2014. Improving the use of species distribution models in conservation planning and management under climate change. PLOS ONE.,https://doi.org/10.1371/journal.pone.0113749
Data gap identification,"Assess, describe, or interpret","Allocate sampling or model-improvement effort to locations, covariates, species, or regions expected to reduce uncertainty or fill data gaps.",Brown et al. 2013. Adaptive survey designs for sampling rare and clustered populations. Environmental and Ecological Statistics.,https://doi.org/10.1007/s10651-012-0221-8
Conservation-status assessment,Categorize for assessment,"Summarize modelled range, area of occupancy, population size, or trend into a scalar status-relevant estimate with uncertainty.",Syfert et al. 2014. Using species distribution models to inform IUCN Red List assessments. Biological Conservation.,https://doi.org/10.1016/j.biocon.2014.06.012
Species or habitat-class categorization,Categorize for assessment,"Use predicted environmental or spatial patterns to help classify species, habitats, communities, or ecological groups.","Elith & Leathwick 2009. Species distribution models: ecological explanation and prediction across space and time. Annual Review of Ecology, Evolution, and Systematics.",https://doi.org/10.1146/annurev.ecolsys.110308.120159
Harvest limit setting,Limit for extraction,"Summarize predicted abundance, productivity, biomass, or sustainable capacity and use the estimate to set quotas, take limits, or effort caps.",Maunder et al. 2020. The need for spatio-temporal modeling to determine catch-per-unit-effort based indices of abundance and associated composition data for inclusion in stock assessment models. Fisheries Research.,https://doi.org/10.1016/j.fishres.2020.105594
Fishing-effort allocation or zone targeting,Limit for extraction,"Allocate fishing effort or identify candidate fishing zones relataive to thresholds based on predicted occurrence, abundance, habitat suitability, or catch potential.",Karp et al. 2025. Applications of species distribution modeling and future needs to support marine resource management. ICES Journal of Marine Science.,https://doi.org/10.1093/icesjms/fsaf024
Climate-adaptation allocation planning,Optimize for allocation,"Allocate limited adaptation actions, monitoring, restoration, or protection effort across places or species to maximize expected benefit under climate scenarios.",Guisan et al. 2013. Predicting species distributions for conservation decisions. Ecology Letters.,https://doi.org/10.1111/ele.12189
Connectivity network optimization,Optimize for allocation,"Allocate protection, restoration, or mitigation actions across a network to maximize connectivity under constraints.",Lehtomäki & Moilanen 2013. Methods and workflow for spatial conservation prioritization using Zonation. Environmental Modelling & Software.,https://doi.org/10.1016/j.envsoft.2013.05.001
Information-gain allocation,Optimize for allocation,"Allocate sampling or model-improvement effort to locations, covariates, species, or regions expected to reduce uncertainty or fill data gaps.",Brown et al. 2013. Adaptive survey designs for sampling rare and clustered populations. Environmental and Ecological Statistics.,https://doi.org/10.1007/s10651-012-0221-8
Invasion control allocation,Optimize for allocation,"Allocate surveillance, eradication, containment, or control effort among areas to maximize expected reduction in invasion risk or spread.",Guisan et al. 2013. Predicting species distributions for conservation decisions. Ecology Letters.,https://doi.org/10.1111/ele.12189
Restoration resource allocation,Optimize for allocation,"Allocate restoration effort, funding, or actions among candidate sites to maximize expected conservation benefit under budget or feasibility constraints.",Watts et al. 2009. Marxan with Zones: Software for optimal conservation based land- and sea-use zoning. Environmental Modelling & Software.,https://doi.org/10.1016/j.envsoft.2009.06.005
Sampling design optimization,Optimize for allocation,"Allocate sampling effort among sites, strata, species, or time periods to maximize detections, precision, representativeness, or information gain.",Chiffard et al. 2020. Adaptive niche-based sampling to improve ability to find rare and elusive species. Methods in Ecology and Evolution.,https://doi.org/10.1111/2041-210X.13399
Species inventory or survey planning,Optimize for allocation,"Allocate field effort to improve the species inventory, fill gaps, or maximize detections using predicted occurrence or information value.",Fois et al. 2015. A practical method to speed up the discovery of unknown populations using species distribution models. Journal for Nature Conservation.,https://doi.org/10.1016/j.jnc.2015.02.001
Targeted search for new populations,Optimize for allocation,"Allocate survey effort toward locations predicted to have high occurrence probability, high information value, or high chance of discovering unknown populations.",McCune et al. 2016. Species distribution models predict rare species occurrences despite significant effects of landscape context. Journal of Applied Ecology.,https://doi.org/10.1111/1365-2664.12702
Connectivity network prioritization,Prioritize,"Rank candidate corridors, linkages, or movement pathways by predicted habitat value, movement suitability, or connectivity contribution.",Guisan et al. 2013. Predicting species distributions for conservation decisions. Ecology Letters.,https://doi.org/10.1111/ele.12189
Critical area or hotspot prioritization,Prioritize,"Rank sites, cells, or regions by predicted biodiversity value, rarity, risk, or concentration of important features.",Velazco et al. 2020. Dealing with overprediction in species distribution models in spatial conservation prioritization. Biological Conservation.,https://doi.org/10.1016/j.biocon.2020.108616
Endemism hotspot prioritization,Prioritize,"Rank sites or regions by predicted endemism, weighted endemism, or irreplaceability for conservation attention.",Velazco et al. 2020. Dealing with overprediction in species distribution models in spatial conservation prioritization. Biological Conservation.,https://doi.org/10.1016/j.biocon.2020.108616
Priority-area identification,Prioritize,"Rank sites, cells, or management units by predicted conservation value for protection, restoration, mitigation, or investment.",Velazco et al. 2020. Dealing with overprediction in species distribution models in spatial conservation prioritization. Biological Conservation.,https://doi.org/10.1016/j.biocon.2020.108616
Protected-area gap or expansion prioritization,Prioritize,"Rank unprotected sites or regions by their potential to improve representation, coverage, or conservation value.",Carvalho et al. 2010. Simulating the effects of using different types of species distribution data in reserve selection. Biological Conservation.,https://doi.org/10.1016/j.biocon.2009.10.010
Reintroduction site prioritization,Prioritize,"Rank candidate release sites by predicted persistence, habitat suitability, risk, connectivity, or expected conservation benefit.",Jarvie & Svenning 2018. Using species distribution modelling to determine opportunities for trophic rewilding under future scenarios. Philosophical Transactions B.,https://doi.org/10.1098/rstb.2017.0435
Restoration site prioritization,Prioritize,"Rank candidate restoration sites by expected biodiversity gain, suitability, urgency, or feasibility.",Guisan et al. 2013. Predicting species distributions for conservation decisions. Ecology Letters.,https://doi.org/10.1111/ele.12189
Road-kill mitigation area prioritization,Prioritize,"Rank road segments or areas by predicted collision risk, species vulnerability, or expected mitigation benefit.",Russo et al. 2020. Prioritizing road-kill mitigation areas: A spatially explicit national-scale model for an elusive carnivore. Diversity and Distributions.,https://doi.org/10.1111/ddi.13064
Suitable habitat prediction for protection prioritization,Prioritize,"Rank predicted habitat patches or areas for protection based on relative suitability, importance, or conservation value.",Velazco et al. 2020. Dealing with overprediction in species distribution models in spatial conservation prioritization. Biological Conservation.,https://doi.org/10.1016/j.biocon.2020.108616
Climate-adaptation prioritization,Prioritize,"Rank refugia, populations, sites, or species by projected persistence, exposure, or conservation value under climate change.",Porfirio et al. 2014. Improving the use of species distribution models in conservation planning and management under climate change. PLOS ONE.,https://doi.org/10.1371/journal.pone.0113749
Climate exposure or vulnerability screening,Threshold for recovery or enhancement,"Use projected suitability, exposure, or vulnerability to flag species or areas for precautionary planning, review, or monitoring.",Porfirio et al. 2014. Improving the use of species distribution models in conservation planning and management under climate change. PLOS ONE.,https://doi.org/10.1371/journal.pone.0113749
Post-fire intervention selection,Threshold for recovery or enhancement,"Use post-fire suitability, recovery potential, or recolonization probability to select locations where restoration or management intervention is justified.",Zellmer et al. 2019. Predicting optimal sites for ecosystem restoration using species distribution models. Frontiers in Marine Science.,https://doi.org/10.3389/fmars.2019.00003
Reintroduction site feasibility screening,Threshold for recovery or enhancement,"Use predicted suitability, persistence probability, or future climate suitability to identify candidate release sites.",Hunter-Ayad et al. 2020. Reintroduction modelling: A guide to choosing and combining ecological models. Journal of Applied Ecology.,https://doi.org/10.1111/1365-2664.13629
Restoration feasibility screening,Threshold for recovery or enhancement,"Use suitability, recovery potential, or probability of establishment to identify sites where restoration intervention is likely to work.",Zellmer et al. 2019. Predicting optimal sites for ecosystem restoration using species distribution models. Frontiers in Marine Science.,https://doi.org/10.3389/fmars.2019.00003
Anthropogenic-disturbance screening for avoidance or constraints,Threshold for restriction or precautionary management,"Use predicted occurrence, density, habitat, or sensitivity to flag disturbance footprints or areas needing avoidance, mitigation, or review.",Baker et al. 2021. Species distribution modelling is needed to support ecological impact assessments. Journal of Applied Ecology.,https://doi.org/10.1111/1365-2664.13782
Climate-adaptation screening,Threshold for restriction or precautionary management,"Use projected distributions or exposure surfaces to flag areas, populations, or species needing precautionary management under climate change.",Porfirio et al. 2014. Improving the use of species distribution models in conservation planning and management under climate change. PLOS ONE.,https://doi.org/10.1371/journal.pone.0113749
Future threat screening,Threshold for restriction or precautionary management,"Use projected distributions, vulnerability, or overlap with threats to flag areas or species that may require precautionary management.",Guisan et al. 2013. Predicting species distributions for conservation decisions. Ecology Letters.,https://doi.org/10.1111/ele.12189
Invasion risk screening,Threshold for restriction or precautionary management,"Use modelled suitability or establishment risk to flag areas for surveillance, prevention, quarantine, or early response.",Cordier et al. 2020. Modeling invasive species risk from established populations. Perspectives in Ecology and Conservation.,https://doi.org/10.1016/j.pecon.2020.08.002
Land-use planning constraints,Threshold for restriction or precautionary management,"Use predicted distribution, habitat, or risk to flag areas where land-use decisions should avoid or mitigate biodiversity impacts.",Baker et al. 2021. Species distribution modelling is needed to support ecological impact assessments. Journal of Applied Ecology.,https://doi.org/10.1111/1365-2664.13782
