ID,Model_type,Model_stage,Model_step,Criterion,Description,Violation,Solutions,Justification,Core_reference,Direct_core_IDs,Indirect_core_IDs,All_core_IDs,Core_relationship_paths,Citations
12,Prediction,"Data quality, relevance and preparation",Species datasets,Species data sample size is appropriate,"Sample size is a major limiting factor of SDMs (Thibaud et al. 2014). SDMs assume that the effective sample size of species occurrences is appropriate for the statistical analysis, as accuracy should increase until it asymptotes with increasing sample sizes (Hernandez et al. 2006). The appropriate sample size, however, depends on a number of factors, including the species’ range size and niche width, spatial resolution, number of predictor variables, the complexity of the species-environment relationships, and modelling method (Moudrý et al. 2024, Santini et al. 2021, Stockwell & Peterson 2002).","This criteria can be frequently violated when modelling rare species, cryptic species, or those difficult to detect for other reasons (e.g., observable only during brief time windows; Radomski et al. 2022). Fulfilling this criteria may also be impracticable for species that have restricted geographic ranges (Santini et al. 2021). Other limitations on data availability can also lead to violation. Lastly, even generally accepted minimal sample sizes can commonly lead to violation as they reflect requirements under optimal conditions (e.g., niche stability, no dispersal limitation, no spatial position error, etc.; Moudrý et al. 2024). ","It requires careful consideration of the purpose of the study (Moudrý et al. 2024)., Consider species' ecology: SDMs better predict specialist species with narrow ecological niches than generalist species with wider ecological niches (Tsoar et al. 2007) (Moudrý et al. 2024)., Consider the number of predictors investigated. As the ability to differentiate between influential and non-influential variables decreases with decreasing sample sizes (Moudrý et al. 2024)., Consider the complexity of the shape of species response curves must be taken into account as models based on small sample sizes result in less precise estimates of these shapes (Bazzichetto et al. 2023) (Moudrý et al. 2024)., Consider testing the effect of sample size (Moudrý et al. 2024; see also van Proosdij et al. 2015)., Consider designing accurate SDMs with a well-balanced sampling of as few as 50 presences (Moudrý et al. 2024)., Subsampling; weighting; inputation (see Bowler et al. 2024)., Acknowledge modelers were unable to address this assumption.","As Hernandez et al. (2006) point out, “[s]mall sample sizes pose challenges to any statistical analyses and result in decreased predictive potential when compared to models developed with more occurrences”. This can express itself in a few different ways. When a small sample size leads to environmental sampling bias, its consequences can be explained by violations of the criteria “Species data covers the environmental extent” (Hernandez et al. 2006). A limited sample size also constrains model complexity, that is, the model’s capacity to capture the underlying species-environmental relationships (Moudrý et al. 2024). In this case, consequences can be explained by violations of the criteria “Model complexity and structure are appropriate”.",,"10, 21.1, 21.2",,"10, 21.1, 21.2",12 > 10; 12 > 21.1; 12 > 21.2,Thibaud et al. 2014; Hernandez et al. 2006; Moudrý et al. 2024; Santini et al. 2021; Stockwell & Peterson 2002; Radomski et al. 2022; Tsoar et al. 2007; Bazzichetto et al. 2023; Proosdij et al. 2015; Bowler et al. 2024
26,Prediction,Model building,Model settings/complexity,Statistical methods and algorithms employed are appropriate,"Several algorithms and approaches are now available for building SDMs. However, the appropriate choices depend primarily on the available species occurrence data and the model objective (Wiens et al. 2009, Elith & Leathwick 2009). For instance, count data require specifying an appropriate probability distribution function (e.g., Poisson, negative binomial) and an algorithm that supports it, such as generalized regressions or boosted regression trees (Guisan et al. 2017). Some methods require binary response variables (i.e., species presence-absence, or pseudoabsence), including generalized linear models (GLMs) or generalized additive models (GAMs; Wiens et al. 2009). Additionally, binary data require binomial probability distribution functions and logistic transformation (Guisan et al. 2017). Regarding the model objective, different statistical approaches are preferred when the goal is explanation, prediction and projection (Guisan et al. 2017, Elith & Leathwick 2009); although, the literature suggests that for any particular goal, there is no “best” overall model (Lawler et al. 2006).","This criteria can be easily violated when modelers use default settings in model parametrization without confirming whether they are appropriate choices for their species occurrence data (Soley-Guardia et al. 2024). Similarly, violation can occur through the use of an algorithm that is inappropriate for the data type or whose underlying mathematical distribution does not match the data type.","Consider ensemble models., Assess model performance; using Tru Skill Statistics (e.g. Shabani et al. 2016; Allouche et al. 2006)., Acknowledge modelers were unable to address this assumption. Evaluate a set of candidate models using independent data (if available) or robust cross-validation methods to assess their fit and predictive power., Manage model complexity: Overly complex models with many parameters can overfit the data and perform poorly when extrapolating to new conditions. Balance complexity with data availability to ensure reliable predictions.","Violation of this criteria can lead to errors and uncertainty in the predictions by introducing structural biases and statistical distortions. In terms of prediction errors, consequences can be explained by violation of the related criteria “Model complexity and structure are appropriate”.",,"21.1, 21.2",,"21.1, 21.2",26 > 21.1; 26 > 21.2,Wiens et al. 2009; Elith & Leathwick 2009; Guisan et al. 2017; Lawler et al. 2006; Soley-Guardia et al. 2024; Shabani et al. 2016; Allouche et al. 2006
27,Prediction,Model building,Model settings/complexity,Shape of the species and predictors relationships is appropriate ,"Related to the criteria “Model complexity and structure are appropriate”, SDMs rely on fitting a correlative relationship between the species occurrence data and predictor variables. Species responses to environmental factors are often non-linear (e.g., a bell-shaped curve describing optimal thermal tolerances, rather than a straight line; Austin 2002). Goodness-of-fit depends on properly describing the species-environmental relationships while balancing model complexity (Merow et al. 2014, Guisan et al. 2017).","This criteria is violated when modellers mischaracterize relationships between species and predictor variables (e.g., by using modelling approaches that do not handle non-linear relationships).","Transform covariates., Acknowledge modelers were unable to address this assumption.","When this criteria is violated, its consequences can be explained by violation of the criteria ""Model complexity and structure are appropriate"".",,"21.1, 21.2",,"21.1, 21.2",27 > 21.1; 27 > 21.2,Austin 2002; Merow et al. 2014; Guisan et al. 2017
28,Prediction,Model building,Model settings/complexity,Background points or pseduo-absences are appropriate,"Most SDM approaches rely on presence-only data combined with background points or pseudo-absences (Steen et al. 2024, Barbet-Massin et al. 2012). Background points correspond to points across the study area that are used to characterize the predictor variables at each site, regardless of whether species occurrence has been sampled at those points and whether the species has been detected (Araújo et al. 2019). Although the term is often used interchangeably with pseudo-absences, these correspond to sites chosen to represent absences, regardless of confirmation of true absences (Liu et al. 2019; also see Senay et al. 2013). Although many approaches exist for selecting background points and pseudo-absence points, the accuracy of SDMs depends on choosing the appropriate method given the modelling context (Steen et al. 2024, Senay et al. 2013, Barbet-Massin et al. 2012).","This criteria is violated in three main ways: if the background points are not representative of the available environment space to appropriately describe the species niche (Steen et al. 2024, Barbet-Massin et al. 2012); similarly, if pseudo-absences are either restricted to an overly tight geographic buffer around known presences or taken from an overly broad area (Barbet-Massin et al. 2012); and if the criteria “Unbiased species data” and “Biases and noise in species datasets are treated” have been violated (e.g., randomly selecting background points and/or pseudo-absences when presence data is highly biased/clustered; Phillips et al. 2009). ","Assess predcitive performance; using different types of background selections (Steen et al. 2024)., Acknowledge modelers were unable to address this assumption.","When this criteria is violated by background points that are not representative of the species environment space, its consequences can be explained by violation of the criteria “Species data covers the environmental extent”. If this criteria is violated through violation of the criteria “Biases and noise in species datasets are treated”, see criteria “Unbiased species data” for consequences. When violation happens due to pseudo-absences that are overly close to presence points, thus likely corresponding to suitable habitat, models are known to underestimate suitable habitat (Chefaoui & Lobo 2008). In contrast, when pseudo-absences are taken from an overly broad area that captures different environmental conditions than those experienced by the species, models suffer from an artificially inflated sense of confidence. By failing to learn to distinguish subtle environmental requirements, the model results in overestimation of suitable habitat (Barbet-Massin et al. 2012). These cases of prediction error apply to both prediction and projection models.",,10,10,10,28 > 10; 28 > 9 > 10,Steen et al. 2024; Barbet-Massin et al. 2012; Araújo et al. 2019; Liu et al. 2019; Senay et al. 2013; Phillips et al. 2009; Chefaoui & Lobo 2008
29,Prediction,Model building,Reducing predictors,"Predictor variables are appropriately reduced, if applicable","Predictor variable reduction is a common approach for treating collinearity and reducing model complexity to minimize overfitting (Soley-Guardia et al. 2024). However, steps should be taken to ensure that variable reduction is done without compromising the model’s ability to fit nuances if informative data are discarded (even if variables might be collinear; Dormann et al. 2013), thus reducing the predictive ability of the model (Soley-Guardia et al. 2024).","This criteria is violated when modellers apply variable reduction methods without considering the ecological relevance of variables (e.g., through pre-determined cutoffs in correlation analyses; Soley-Guardia et al. 2024, Araújo et al. 2019).","Assess spatial autocorrelation in model residuals., Use spatial autoregressive models., Use spatial eigenvector mapping., Remove collinear variables to reduce redundancy., Reduce dimenssiionality (Zhang et al. 2023)., Orthogonal Principal Componenents (Farrel et al. 2019)., Algorithms might account for redundant variables (e.g.; Feng et al. 2019)., Select environmental variables for groups of species with similar natural histories (Soley et al. 2024) ., Variable selection approach (Cobos et al. 2019)., Acknowledge modelers were unable to address this assumption.",Violation of this criteria leads to violation of the related criteria “Model complexity and structure are appropriate”.,,"21.1, 21.2",,"21.1, 21.2",29 > 21.1; 29 > 21.2,Soley-Guardia et al. 2024; Dormann et al. 2013; Araújo et al. 2019; Zhang et al. 2023; Farrel et al. 2019; Feng et al. 2019; Soley et al. 2024; Cobos et al. 2019
32,Prediction,Model assessment,Validation,Model training and validation datasets are appropriate,"As Araújo et al. (2019) point out, “[a] key step in evaluating models is to compare their results against statistically independent data”. The golden standard is to use species occurrence data that are spatially or temporally independent from the training data (i.e., from separate geographic areas or data collected in different time periods; e.g., Finn et al. 2024, Hintze et al. 2021). When fully independent data is not available, training and validation datasets can be created by subsetting the data following an appropriate data partitioning method given the data structure and model objective (Soley-Guardia et al. 2024, Araújo et al. 2019, Le Rest et al. 2014, Araújo et al. 2005). For prediction models, although less ideal, evaluation can be also done by sub-sampling the training data when the sample size is small (e.g., Hijmans et al. 2012).","When independent data is not available, this criteria can be easily violated when creating training and validation sets since most observations are related to each other in a spatial context (Le Rest et al. 2014). In this case, the main way violation can occur is by employing data partitioning methods that rely on random splits of the data; despite being a well supported collection of methods (e.g., k-fold partitioning, bootstrapping, jack-knifing), random splits of occurrence data do not ensure statistical independence or treat biases, and therefore are still sensitive to spatial and/or temporal autocorrelation in the data (Soley-Guardia et al. 2024, Araújo et al. 2005).","Splitting data non-randomly (Soley et al. 2024)., Acknowledge modelers were unable to address this assumption.","Violation of this criteria will compromise the ability of the validation step to detect a model that fits biased and/or autocorrelated training data (e.g., Fourcade et al. 2018, Hijmans et al. 2012; Soley-Guardia et al. 2024). Therefore, its consequences can be explained by violation of the criteria “Unbiased species data” and “Biases and noise in species datasets are treated”.",,,10,10,32 > 9 > 10; 32 > 22 > 9 > 10,Araújo et al. 2019; Finn et al. 2024; Hintze et al. 2021; Soley-Guardia et al. 2024; Rest et al. 2014; Araújo et al. 2005; Hijmans et al. 2012; Soley et al. 2024; Fourcade et al. 2018
33,Prediction,Model assessment,Extrapolation,Extrapolation approach is appropriate,"Projection models often require making predictions into new, non-analog conditions (i.e., not present in the training data and/or region; Soley-Guardia et al. 2024). Beyond quantifying novelty (e.g., Mesgaran et al. 2014) and reporting the uncertainty due to extrapolation (Soley-Guardia et al. 2024, Zurrel et al. 2020), it is assumed that modelers extrapolate “in a biologically sensible manner” (Zurrel et al. 2020). Deciding between an unconstrained (response continues its trend) or a fixed approach (response is fixed at the last value) can be informed by structural factors, including how different non-analog conditions are from reference, the shape of the response curve at point of truncation, the amount of data available, and model complexity (Soley-Guardia et al. 2024, Sequeria et al. 2018, Yates et al. 2018). But ultimately, it should reflect biological, ecological, and evolutionary dynamics. Prediction models may also require extrapolation, particularly if other criteria are violated.","The main way this criteria can be violated is through the choice of an inappropriate extrapolation approach. For example, by violating the criteria “Statistical methods and algorithms employed are appropriate”, the modeler might default to using an unconstrained approach when the training model truncates at a species’ thermal tolerance limit, where a fixed approach would be more appropriate (Guevara et al. 2017). Alternatively, if the model only captures a narrow range of tolerances (through violation of the criteria “Species data covers the environmental extent” and/or “Non-novel conditions”) or if the species is known to be highly plastic and adaptive (through violation of the criteria “Genotype and phenotype stability”), violation can happen through defining a fixed approach (Rodríguez et al. 2018). But this criteria can also be violated when other related criteria (“Species-environmental equilibrium”, “Niche stability”, “Model complexity and structure are appropriate”) are violated and the modeller overlooks the effects of extrapolation and/or fails to quantify extrapolation (Soley-Guardia et al. 2024, Sequeira et al. 2018, Mesgaran et al. 2014).","Assessing suitability curves (Owen et al. 2013)., Identify areas of extrict extrapolation; using index such as MESS and MOP (See Owen et al. 2013)., Flagging areas with high uncertainty due to extrapolation (Soley et al. 2024)., Assess model's robustness to extrapolation (e.g.; Roberts et al. 2016)., Acknowledge modelers were unable to address this assumption.","Failing to quantify extrapolation may lead to over and/or underestimation. Consequences for prediction models are related to violation of other related criteria (see criteria “Species-environmental equilibrium”, “Niche stability”, and/or “Model complexity and structure are appropriate”).",,"1, 2, 21.1, 21.2",,"1, 2, 21.1, 21.2",33 > 1; 33 > 2; 33 > 21.1; 33 > 21.2,Soley-Guardia et al. 2024; Mesgaran et al. 2014; Zurrel et al. 2020; Sequeria et al. 2018; Yates et al. 2018; Guevara et al. 2017; Rodríguez et al. 2018; Sequeira et al. 2018; Owen et al. 2013; Soley et al. 2024; Roberts et al. 2016
22,Prediction,Model building,"Treatments, fittings, tunning",Biases and noise in species datasets are treated ,"When the criteria “Unbiased species data”, “Species data covers the environmental extent”, and/or “Species data covers the geographic extent” are violated (i.e., cannot be corrected), steps should be taken to account for such biases in the model (Araújo et al. 2019). The most supported approach for when access to unbiased data is lacking, is to reduce its effects by choosing background data with the same sampling bias (Vollering et al. 2019, Syfert et al. 2013, Phillips et al. 2009; see Soley-Guardia et al. 2024). Other approaches include: accounting for spatial autocorrelation in occurrence data, incorporating a proxy of spatial bias as a covariate, filtering occurrence data to reduce clustering across geographic and/or environmental space, weighting occurrence records so that points in oversampled areas are assigned a smaller weight (Ranc et al. 2017).",This criteria is violated when treatment of bias and noise in species datasets is not appropriate or effective at addressing the issue.,"Spatial thining/filtering., Background/Pseudo-absence Point Manipulation approach., Implement Integrated Species Distribution Models (ISDMs) approach that combines data from multiple sources., Applying weights to observations can account for varying sampling reliability or effort., Acknowledge modelers were unable to address this assumption.","When this criteria is violated, its consequences can be explained by violation of its related criteria “Unbiased species data”.","An SDM built on statistical correlations alone and lacking ecological realism may seem robust statistically but lead to misleading results (e.g., Fourcade et al. 2014). The consequences of violation for prediction errors are, however, context dependent. If the model neglects biotic constraints or positive biotic interactions, its consequences are defined by violations to the “Eltonian noise” criteria. If the model neglects anthropogenic and/or geographic constraints, its consequences are defined by violations to the “No dispersal limitation” criteria. If the model fails to account for the ability to adapt to new environments, its consequences are defined by violations to the “Genotype and phenotype stability” criteria. Also see criteria “Predictors are relevant for species response” for more information.",,10,10,22 > 9 > 10,Araújo et al. 2019; Vollering et al. 2019; Syfert et al. 2013; Phillips et al. 2009; Soley-Guardia et al. 2024; Ranc et al. 2017; Fourcade et al. 2014
9,Projection,"Data quality, relevance and preparation",Species datasets,Unbiased species data,"SDMs should rely on occurrence data that has been homogeneously sampled across the study area – ideally via systematically designed surveys – to avoid bias in species representation (Soley-Guardia et al. 2024). When designing systematic surveys, in addition to the geographic extent, Araújo et al. (2019) also emphasize the importance of evenly sampling along the environmental gradients occupied by the taxon within the study area. For the special case of occupancy SDMs, unbiased data should include samples collected from a closed population (i.e., geographically isolated, without immigration and emigration during the sampling period). When access to unbiased data is lacking, see criteria “Biases and noise in species datasets are treated” for more.","This criteria can be violated by models that rely on opportunistic (e.g., occurrences inflated near or along roads) and geographically structured data (i.e., preferential sampling of certain habitats) rather than systematic surveys (e.g., based on stratified or random designs; Soley-Guardia et al. 2024, Guisan et al. 2017). For example, violation can occur when species occurrence records rely heavily on spatially clumped or incomplete data from museum collections (Richmond et al. 2010). For the special case of modeling migratory species, violation can occur by including observation of migrants when the goal is to build a breeding season model.","Implement target-group background approach (Barber et al. 2021)., Implement sampling probability approach (Barber et al. 2021)., Implement weighted locality approach (Barber et al. 2021)., Implement filtering (or thining ) approach (Moudrý et al 2024; Veloz 2009; Aiello et al. 2015)., Acknowledge modelers were unable to address this assumption.","When geographic sampling biases exist, these can translate into biased species-environment relationships when they also violate the criteria “Species data covers the environmental extent ”. If the related criteria are not violated, then risk of prediction error is low.","As Hernandez et al. (2006) point out, “[s]mall sample sizes pose challenges to any statistical analyses and result in decreased predictive potential when compared to models developed with more occurrences”. This can express itself in a few different ways. When a small sample size leads to environmental sampling bias, its consequences can be explained by violations of the criteria “Species data covers the environmental extent” (Hernandez et al. 2006). A limited sample size also constrains model complexity, that is, the model’s capacity to capture the underlying species-environmental relationships (Moudrý et al. 2024). In this case, consequences can be explained by violations of the criteria “Model complexity and structure are appropriate”.",10,,10,9 > 10,Soley-Guardia et al. 2024; Araújo et al. 2019; Guisan et al. 2017; Richmond et al. 2010; Barber et al. 2021; Moudrý et al. 2024; Veloz 2009; Aiello et al. 2015; Hernandez et al. 2006
11,Projection,"Data quality, relevance and preparation",Species datasets,Species data covers the geographic extent,"As a special case of the criteria “Unbiased species data”, the assumption is that species occurrence should be sampled across all regions of the study area that are suitable for and accessible to the taxon (Araújo et al. 2019).","This criteria can be violated by models that rely on opportunistic data (e.g., occurrences inflated near or along roads, preferential sampling of certain habitats) rather than systematic surveys (e.g., based on stratified or random designs; Soley-Guardia et al. 2024, Guisan et al. 2017).","Implement Nested SDMs (N-SDMs; Guisan et al. 2025)., Calibrate models over the whole species range; then focus on regions (e.g.; Scherrer et al. 2021)., Acknowledge modelers were unable to address this assumption.","When geographic sampling biases exist, these can translate into biased species-environment relationships due to niche truncation, and thus violate the criteria “Species data covers the environmental extent ”.","As Hernandez et al. (2006) point out, “[s]mall sample sizes pose challenges to any statistical analyses and result in decreased predictive potential when compared to models developed with more occurrences”. This can express itself in a few different ways. When a small sample size leads to environmental sampling bias, its consequences can be explained by violations of the criteria “Species data covers the environmental extent” (Hernandez et al. 2006). A limited sample size also constrains model complexity, that is, the model’s capacity to capture the underlying species-environmental relationships (Moudrý et al. 2024). In this case, consequences can be explained by violations of the criteria “Model complexity and structure are appropriate”.",10,,10,11 > 10,Araújo et al. 2019; Soley-Guardia et al. 2024; Guisan et al. 2017; Guisan et al. 2025; Scherrer et al. 2021; Hernandez et al. 2006; Moudrý et al. 2024
18,Projection,"Data quality, relevance and preparation",Predictors datasets,All predictors relevant for the species response are included,"Related to the criteria “Predictors are relevant for the species response”, SDMs should be built using all driving factors of a species’ distribution (Araújo et al. 2019, Wiens et al. 2009). ","This criteria can be easily violated, as measuring all dimensions of a species niche is unrealistic (Wiens et al. 2009). Therefore, violation occurs if key predictors are not included in the model due to lack of knowledge or data.",,Violations to this criteria lead to violations of the criteria “Species data covers the environmental extent”.,"As Hernandez et al. (2006) point out, “[s]mall sample sizes pose challenges to any statistical analyses and result in decreased predictive potential when compared to models developed with more occurrences”. This can express itself in a few different ways. When a small sample size leads to environmental sampling bias, its consequences can be explained by violations of the criteria “Species data covers the environmental extent” (Hernandez et al. 2006). A limited sample size also constrains model complexity, that is, the model’s capacity to capture the underlying species-environmental relationships (Moudrý et al. 2024). In this case, consequences can be explained by violations of the criteria “Model complexity and structure are appropriate”.",10,,10,18 > 10,Araújo et al. 2019; Wiens et al. 2009; Hernandez et al. 2006; Moudrý et al. 2024
25,Projection,Model building,Model settings/complexity,Training samples are representative,"Related to the criteria “Species data covers the environmental extent”, the species data used to train the model should be representative of the environmental conditions in the species range (for projection models) or analysis extent (for prediction models; Guisan et al. 2025, Araújo et al. 2019, Richmond et al. 2010). Since SDMs attempt to quantify a species’ environmental niche, the input data used to build the models needs to include all possible environments that represent suitable habitats for the modeled species (Guisan et al. 2017).",This criteria is violated when the related criteria “Species data covers the environmental extent” is violated.,"Generate adequate number of random pseudo-absences points from native range., Acknowledge modelers were unable to address this assumption.","When this criteria is violated, its consequences can be explained by violation of the criteria  “Species data covers the environmental extent”.","As Hernandez et al. (2006) point out, “[s]mall sample sizes pose challenges to any statistical analyses and result in decreased predictive potential when compared to models developed with more occurrences”. This can express itself in a few different ways. When a small sample size leads to environmental sampling bias, its consequences can be explained by violations of the criteria “Species data covers the environmental extent” (Hernandez et al. 2006). A limited sample size also constrains model complexity, that is, the model’s capacity to capture the underlying species-environmental relationships (Moudrý et al. 2024). In this case, consequences can be explained by violations of the criteria “Model complexity and structure are appropriate”.",10,,10,25 > 10,Guisan et al. 2025; Araújo et al. 2019; Richmond et al. 2010; Guisan et al. 2017; Hernandez et al. 2006; Moudrý et al. 2024
3,Projection,Foundational,General,No dispersal limitation,"SDMs assume that species occur at all locations where habitat is suitable and can readily move to new suitable areas if they are available, and likewise, immediately abandon areas that become unsuitable (Jeschke & Strayer 2008). Dispersal limitation is one of several reasons why a species may not be at equilibrium with their environment (De Marco et al. 2008; but see Foster et al. (2022) on apparent equilibrium due to dispersal limitation).","This assumption can be frequently violated owing to physical barriers – natural (e.g., mountain ranges) and anthropogenic (e.g., landscape fragmentation; Foster et al. 2022) – and transient dynamics of invasion, colonization, and extinction (Zurell et al. 2023, Gallien et al., 2012, De Marco et al. 2008).","Incorporating distance constraints into species distribution models (Allouche et al. 2008)., ""More advanced, mechanistic, or dynamic SDMs (D-SDMs) often incorporate dispersal as a key variable to simulate how species ranges might expand or shift over time, especially in response to climate change (e.g. Shipley et al. 2021; Zurell 2017; Evans et al 2015)."", ""Modelers might consider this criterion is irrelevant or has minimum impact on the accuracy of model precictions. Modelers are looking only for high model accuracy and low uncertainty, regarless of explaining of predictors.""","Criteria ""Species-environment equilibrium"".","When geographic sampling biases exist, these can translate into biased species-environment relationships when they also violate the criteria “Species data covers the environmental extent ”. If the related criteria are not violated, then risk of prediction error is low.",1,,1,3 > 1,Jeschke & Strayer 2008; Marco et al. 2008; Foster et al. 2022; Zurell et al. 2023; Gallien et al. 2012; Allouche et al. 2008; Shipley et al. 2021; Zurell 2017; Evans et al. 2015
4.2,Projection,Foundational,General,Eltonian noise (negative interactions),"Related to the criteria “Species data covers the environmental extent”, the species data used to train the model should be representative of the environmental conditions in the species range (for projection models) or analysis extent (for prediction models; Guisan et al. 2025, Araújo et al. 2019, Richmond et al. 2010). Since SDMs attempt to quantify a species’ environmental niche, the input data used to build the models needs to include all possible environments that represent suitable habitats for the modeled species (Guisan et al. 2017).",This criteria is violated when the related criteria “Species data covers the environmental extent” is violated.,"Include biotic interactions as predictors (Heikkinen et al. 2007)., Acknowledge modelers were unable to address this assumption.","The case of negative interactions, where a species is excluded from its environmental niche by a competitor or predator, is a special case of violating the species-environment equilibrium criteria.","When geographic sampling biases exist, these can translate into biased species-environment relationships when they also violate the criteria “Species data covers the environmental extent ”. If the related criteria are not violated, then risk of prediction error is low.",1,,1,4.2 > 1,Guisan et al. 2025; Araújo et al. 2019; Richmond et al. 2010; Guisan et al. 2017; Heikkinen et al. 2007
15,Projection,"Data quality, relevance and preparation",Predictors datasets,Predictors spatial resolution matches species data,"The spatial resolution of the predictor data should be as close as possible to the spatial accuracy of the occurrence data (Soley-Guardia et al. 2024, Araújo et al. 2019, Guisan et al. 2007). ","There are three main ways in which mismatches between the spatial resolution of the predictor and occurrence data can occur. The first is through spatial positional errors in the occurrence data. Although past consensus suggested that when spatial positional errors are known to occur, the predictor data should be coarser than the largest positional error in the species occurrence data (Gábor et al. 2020, Moudrý & Šímová 2012), new findings indicate that data coarsening can negatively affect SDM performance (Gábor et al. 2022). Instead, if spatial positional errors occur, steps should be taken to correct or minimize them (see criteria “Lack of spatial positional error” for more). The second source of violation is limited data availability at finer resolutions, which in limited cases, can be addressed by downscaling (Araújo et al. 2019, Wiens et al. 2009). Lastly, this criteria can be intentionally violated if a given species-environmental relationship is best modelled at a coarser resolution (e.g., high spatial autocorrelation, climate variables may act at broader spatial scales than biotic interactions or vegetation structure; Gábor et al. 2022).",,"For consequences of violation due to spatial positional errors, see criteria “Lack of spatial positional error”. For other cases, the risk of prediction error depends on whether the related criteria “Predictors spatial and temporal resolution matches response scale” is violated. If the related criteria are not violated, then risk of prediction error is low.","Unbiased species data: When geographic sampling biases exist, these can translate into biased species-environment relationships when they also violate the criteria “Species data covers the environmental extent ”. If the related criteria are not violated, then risk of prediction error is low.

Predictors are relevant for the species response: The consequences of violation for prediction models can be explained by violation of the criteria “Niche stability”, “Species data covers the environmental extent” and “Species data covers the geographic extent” (Mesgaran et al. 2014).","8, 16.1",,"8, 16.1",15 > 8; 15 > 16.1,Soley-Guardia et al. 2024; Araújo et al. 2019; Guisan et al. 2007; Gábor et al. 2020; Moudrý & Šímová 2012; Gábor et al. 2022; Wiens et al. 2009; Mesgaran et al. 2014
17,Projection,"Data quality, relevance and preparation",Predictors datasets,Predictors are relevant for the species response,"While a large number of candidate variables may be available, an SDM should be built using predictors that are known to be causally related to the species response (e.g., distributions, suitable habitat, abundance; Araújo et al. 2019) and niche requirements (Wiens et al. 2009) – also known as proximal or driving factors. Since cause-and-effect relationships are typically difficult to infer, the selection of candidate variables can be statistically supported or defined via testing (e.g., Hong & Cho 2015, Barbosa et al. 2001). Best practices recommend that variables that are only correlated to the species’ distribution (i.e., indirect or proxy variables) should not be used for (explanation and) projection models (Araújo et al. 2019, Wiens et al. 2009).","This criteria can be violated in (explanation and) projection models via the inclusion of proxy variables (Soley-Guardia et al. 2024). Prediction models built using proxy variables (i.e., correlative prediction SDMs) can also lead to violation if they also violated the criteria “Niche stability”, “Species data covers the environmental extent” and “Species data covers the geographic extent” (Mesgaran et al. 2014). ","Acknowledge modelers were unable to address this assumption., ""Modelers might consider this criterion is irrelevant or has minimum impact on the accuracy of model precictions. Modelers are looking only for high model accuracy and low uncertainty, regarless of explaining of predictors.""","For (explanation and) projection models, the inclusion of proxy variables can lead to inaccurate predictions if the correlation between the proxy and driving factors varies across locations and/or time periods (Feng et al. 2019). Therefore, its consequences for prediction error can be explained by violation to the criteria “Niche stability”. Changes in correlation can also occur due to missing driving factors (see criteria “All predictors relevant for the species response are included”; Soley-Guardia et al. 2024).","When geographic sampling biases exist, these can translate into biased species-environment relationships due to niche truncation, and thus violate the criteria “Species data covers the environmental extent ”.",2,,2,17 > 2,Araújo et al. 2019; Wiens et al. 2009; Hong & Cho 2015; Barbosa et al. 2001; Soley-Guardia et al. 2024; Mesgaran et al. 2014; Feng et al. 2019
6,Projection,Foundational,General,Understanding the ecological processes driving species distribution and abundances,"SDMs should be built on a strong understanding of the ecological processes driving a species’ distribution, including geographic, biotic and abiotic drivers (Bryn et al. 2021, Elith & Leathwick 2009, Araújo & Guisan 2006). Although automated solutions can be used to aid in predictor selection, it should not eliminate the need to preselect sound predictors based on knowledge of the species (Araújo & Guisan 2006).","This criteria can be easily violated, whether simply due to a shortcoming of the modeler (i.e., lack of knowledge of best practices), or due to true limited availability of complete knowledge on the ecological processes driving a species’ distribution (Bryn et al. 2021).","Include disturbance processes (i.e. fire regimes) as potential predictors of changes in species distributions (e.g.; Vallecillo et al. 2009)., Acknowledge modelers were unable to address this assumption., ""Modelers might consider this criterion is irrelevant or has minimum impact on the accuracy of model precictions. Modelers are looking only for high model accuracy and low uncertainty, regarless of explaining of predictors.""","An SDM built on statistical correlations alone and lacking ecological realism may seem robust statistically but lead to misleading results (e.g., Fourcade et al. 2014). The consequences of violation for prediction errors are, however, context dependent. If the model neglects biotic constraints or positive biotic interactions, its consequences are defined by violations to the “Eltonian noise” criteria. If the model neglects anthropogenic and/or geographic constraints, its consequences are defined by violations to the “No dispersal limitation” criteria. If the model fails to account for the ability to adapt to new environments, its consequences are defined by violations to the “Genotype and phenotype stability” criteria. Also see criteria “Predictors are relevant for species response” for more information.",,4.1,1,"4.1, 1",6 > 4.1; 6 > 4.2 > 1; 6 > 3 > 1,Bryn et al. 2021; Elith & Leathwick 2009; Araújo & Guisan 2006; Vallecillo et al. 2009; Fourcade et al. 2014
