ID,Model_type,Model_stage,Model_step,Criterion,Description,Violation,Solutions,Justification,Underprediction_error_certainty,Overprediction_error_certainty,Direct_related_IDs,Indirect_related_IDs,All_related_IDs,Citations
10,Prediction,"Data quality, relevance and preparation",Species datasets,Species data covers the environmental extent,"As a special case of the criteria “Unbiased species data”, the assumption is that species sampling covers the entire range of the taxon’s environmental tolerances or ecological niche within the study area (for prediction models) or current range (for projection models; Guisan et al. 2025, Araújo et al. 2019). Since SDMs attempt to quantify a species’ environmental niche, the input data used needs to include all possible environments that represent suitable habitats for the modeled species (Guisan et al. 2017).","This criteria can be violated through violation of the related criteria “Unbiased species data” and “Species data covers the geographic extent”. That is, when the species occurrence is not sampled across all regions of the study area that are suitable for and accessible to the taxon (Araújo et al. 2019). But, as pointed out by Guisan et al. (2025), not all cases of restricted geographic sampling result in violation, since “a subset of the species range could cover the entire range of environmental conditions experienced by a species”. Nevertheless, violation can still occur even when the geographic extent is systematically surveyed if the environmental gradient is not evenly sampled (Pili et al. 2025). Lastly, projection models may be more prone to violation as the conditions used to fit the model may not be representative of future environmental conditions (Pili et al. 2025, Chevalier et al. 2022; also see criteria “Non-novel environmental conditions”).","Implement Ensembles of Small Models (ESMs): Instead of one complex model, generate many simple (bivariate) models and average them to avoid overfitting, which is particularly effective for rare or restricted-range species., ""Implement Spatially Nested Species Distribution Models (N-SDMs): Combine a broad-scale, coarse-grain model (covering the full range) with a local, fine-grain model (focusing on the study area). (Guisan et al. 2025)"", Implement Hierarchical Bayesian Models: These models allow for the integration of data from multiple sources and help separate environmental signals from sampling biases., ""Implement Environmental Filtering: Instead of filtering by geography, filter the data to ensure an even distribution across the environmental gradients (e.g. Temperature, Elevation) to ensure all tolerances are represented.""","Environmental conditions that are artificially overrepresented result in overestimation of suitability (Soley-Guardia et al. 2024). In turn, conditions that are undersampled or missed can become underestimated due to the niche truncation (i.e., truncated modelled response curves of the species along environmental gradients occur when data does not include all possible conditions that compose the species’ ecological niche; Guisan et al. 2025, Dubos et al. 2022, Chevalier et al. 2021). This impacts both prediction and projection models (Pili et al. 2025, Chevalier et al. 2022).",Sometimes,Sometimes,"9, 11, 18, 25, 17, 12, 28","17, 28, 32, 22","9, 11, 18, 25, 17, 12, 28, 32, 22",Guisan et al. 2025; Araújo et al. 2019; Guisan et al. 2017; Pili et al. 2025; Chevalier et al. 2022; Soley-Guardia et al. 2024; Dubos et al. 2022; Chevalier et al. 2021
10,Projection,"Data quality, relevance and preparation",Species datasets,Species data covers the environmental extent,"As a special case of the criteria “Unbiased species data”, the assumption is that species sampling covers the entire range of the taxon’s environmental tolerances or ecological niche within the study area (for prediction models) or current range (for projection models; Guisan et al. 2025, Araújo et al. 2019). Since SDMs attempt to quantify a species’ environmental niche, the input data used needs to include all possible environments that represent suitable habitats for the modeled species (Guisan et al. 2017).","This criteria can be violated through violation of the related criteria “Unbiased species data” and “Species data covers the geographic extent”. That is, when the species occurrence is not sampled across all regions of the study area that are suitable for and accessible to the taxon (Araújo et al. 2019). But, as pointed out by Guisan et al. (2025), not all cases of restricted geographic sampling result in violation, since “a subset of the species range could cover the entire range of environmental conditions experienced by a species”. Nevertheless, violation can still occur even when the geographic extent is systematically surveyed if the environmental gradient is not evenly sampled (Pili et al. 2025). Lastly, projection models may be more prone to violation as the conditions used to fit the model may not be representative of future environmental conditions (Pili et al. 2025, Chevalier et al. 2022; also see criteria “Non-novel environmental conditions”).","Implement Ensembles of Small Models (ESMs): Instead of one complex model, generate many simple (bivariate) models and average them to avoid overfitting, which is particularly effective for rare or restricted-range species., ""Implement Spatially Nested Species Distribution Models (N-SDMs): Combine a broad-scale, coarse-grain model (covering the full range) with a local, fine-grain model (focusing on the study area). (Guisan et al. 2025)"", Implement Hierarchical Bayesian Models: These models allow for the integration of data from multiple sources and help separate environmental signals from sampling biases., ""Implement Environmental Filtering: Instead of filtering by geography, filter the data to ensure an even distribution across the environmental gradients (e.g. Temperature, Elevation) to ensure all tolerances are represented.""","Environmental conditions that are artificially overrepresented result in overestimation of suitability (Soley-Guardia et al. 2024). In turn, conditions that are undersampled or missed can become underestimated due to the niche truncation (i.e., truncated modelled response curves of the species along environmental gradients occur when data does not include all possible conditions that compose the species’ ecological niche; Guisan et al. 2025, Dubos et al. 2022, Chevalier et al. 2021). This impacts both prediction and projection models (Pili et al. 2025, Chevalier et al. 2022).",Sometimes,Sometimes,"9, 11, 18, 25, 12, 28","28, 32, 22","9, 11, 18, 25, 12, 28, 32, 22",Guisan et al. 2025; Araújo et al. 2019; Guisan et al. 2017; Pili et al. 2025; Chevalier et al. 2022; Soley-Guardia et al. 2024; Dubos et al. 2022; Chevalier et al. 2021
13,Prediction,"Data quality, relevance and preparation",Species datasets,Independence of species observations,"Much like most statistical methods, SDMs rely on the assumption of independence of observations, that is, that each recorded species presence (or absence) is a unique sample, not influenced by or correlated to nearby records (i.e., not spatially autocorrelated; Guisan & Thuiller 2005).","This assumption can be easily and frequently violated in ecology. Even if surveys are systematically designed to cover the study extent uniformly and randomly, the species distribution itself is not random (Guisan et al. 2017). Beyond the underlying habitat preferences, a number of ecological and behavioural (intrinsic) factors can result in spatial autocorrelation in species occurrences (or absences), including reproduction, site fidelity, dispersal limitation, home range size, territoriality, and more (Paradinas et al. 2023, Wintle & Bardos 2006). Therefore, surveys may detect the same individual multiple times or multiple individuals of the same population in the same or nearby locations. Alternatively, if intraspecific competition is strong, the detection of one individual at a location may decrease the likelihood of detecting another. Extrinsic factors such as spatially structured environmental processes and patterns, can also lead to spatial autocorrelation in species distribution and therefore lead to violation (Dormann et al. 2007, Wintle & Bardos 2006).",Acknowledge modelers were unable to address this assumption.,"An SDM aims to explain a species’ pattern of spatial distribution by means of environmental predictors. If the model is successful, no spatial autocorrelation should be left in the model residuals (Guisan et al. 2017). Instead, when the model residuals are spatially autocorrelated, it indicates that intrinsic and/or extrinsic factors were not covered by the model. The main consequence of this violation is an increase in Type I error (false positive) when identifying predictors (Paradinas et al. 2023, Dormann et al. 2007). In terms of prediction error, overestimation of suitable habitat is more likely to occur (e.g., through an inflated estimate of habitat preference; Soley-Guardia et al. 2024). But, if important predictors are missing, it can also lead to underestimation of suitable habitat (e.g., through niche truncation; Guisan et al. 2025). This applies to both prediction and projection models, but projection models may suffer further due to the additional temporal and spatio-temporal autocorrelation (Dormann et al. 2007).",Sometimes,Always,,,,Guisan & Thuiller 2005; Guisan et al. 2017; Paradinas et al. 2023; Wintle & Bardos 2006; Dormann et al. 2007; Soley-Guardia et al. 2024; Guisan et al. 2025
13,Projection,"Data quality, relevance and preparation",Species datasets,Independence of species observations,"Much like most statistical methods, SDMs rely on the assumption of independence of observations, that is, that each recorded species presence (or absence) is a unique sample, not influenced by or correlated to nearby records (i.e., not spatially autocorrelated; Guisan & Thuiller 2005).","This assumption can be easily and frequently violated in ecology. Even if surveys are systematically designed to cover the study extent uniformly and randomly, the species distribution itself is not random (Guisan et al. 2017). Beyond the underlying habitat preferences, a number of ecological and behavioural (intrinsic) factors can result in spatial autocorrelation in species occurrences (or absences), including reproduction, site fidelity, dispersal limitation, home range size, territoriality, and more (Paradinas et al. 2023, Wintle & Bardos 2006). Therefore, surveys may detect the same individual multiple times or multiple individuals of the same population in the same or nearby locations. Alternatively, if intraspecific competition is strong, the detection of one individual at a location may decrease the likelihood of detecting another. Extrinsic factors such as spatially structured environmental processes and patterns, can also lead to spatial autocorrelation in species distribution and therefore lead to violation (Dormann et al. 2007, Wintle & Bardos 2006).",Acknowledge modelers were unable to address this assumption.,"An SDM aims to explain a species’ pattern of spatial distribution by means of environmental predictors. If the model is successful, no spatial autocorrelation should be left in the model residuals (Guisan et al. 2017). Instead, when the model residuals are spatially autocorrelated, it indicates that intrinsic and/or extrinsic factors were not covered by the model. The main consequence of this violation is an increase in Type I error (false positive) when identifying predictors (Paradinas et al. 2023, Dormann et al. 2007). In terms of prediction error, overestimation of suitable habitat is more likely to occur (e.g., through an inflated estimate of habitat preference; Soley-Guardia et al. 2024). But, if important predictors are missing, it can also lead to underestimation of suitable habitat (e.g., through niche truncation; Guisan et al. 2025). This applies to both prediction and projection models, but projection models may suffer further due to the additional temporal and spatio-temporal autocorrelation (Dormann et al. 2007).",Sometimes,Always,,,,Guisan & Thuiller 2005; Guisan et al. 2017; Paradinas et al. 2023; Wintle & Bardos 2006; Dormann et al. 2007; Soley-Guardia et al. 2024; Guisan et al. 2025
14,Prediction,"Data quality, relevance and preparation",Species datasets,Perfect detection ,"This criteria describes the assumption that if a species is present at a sampled site, it will be detected.","Unless sampling effort is sufficiently large, species often remain undetected at occupied sites (Lahoz-Monfort et al. 2013). Imperfect detection can happen for a variety of reasons, including survey conditions and species behaviour (e.g., survey window does not align with the species seasonal or daily activity peaks, limited visual and acoustic detection ranges, meteorological conditions; Tyre et al. 2003).","Consider using occupancy models (e.g. Erickson & Smith 2021; Comte & Grenoulliet 2013)., Consider data integration and fusion., Consider using advance modelling frameworks such as Joint Species Dsitribution Models (JSDMs).","Imperfect detection results in classifying true presences as false absences. Similar to the presence of spatial positional error and biased sampling, this creates a misalignment between the species' actual distribution and the training data. In this case, the presence of numerous false absence points in otherwise suitable environments leads to underestimation (Lahoz-Monfort et al. 2013). If detection probability is structured (e.g., species is more easily detected in open fields than closed forests), the model will overestimate suitability in the areas where detectability is high and underestimate it in areas with low detectability (e.g., Gu & Swihart 2004). This affects both prediction and projection models.",Always,Sometimes,,,,Lahoz-Monfort et al. 2013; Tyre et al. 2003; Erickson & Smith 2021; Comte & Grenoulliet 2013; Gu & Swihart 2004
14,Projection,"Data quality, relevance and preparation",Species datasets,Perfect detection ,"This criteria describes the assumption that if a species is present at a sampled site, it will be detected.","Unless sampling effort is sufficiently large, species often remain undetected at occupied sites (Lahoz-Monfort et al. 2013). Imperfect detection can happen for a variety of reasons, including survey conditions and species behaviour (e.g., survey window does not align with the species seasonal or daily activity peaks, limited visual and acoustic detection ranges, meteorological conditions; Tyre et al. 2003).","Consider using occupancy models (e.g. Erickson & Smith 2021; Comte & Grenoulliet 2013)., Consider data integration and fusion., Consider using advance modelling frameworks such as Joint Species Dsitribution Models (JSDMs).","Imperfect detection results in classifying true presences as false absences. Similar to the presence of spatial positional error and biased sampling, this creates a misalignment between the species' actual distribution and the training data. In this case, the presence of numerous false absence points in otherwise suitable environments leads to underestimation (Lahoz-Monfort et al. 2013). If detection probability is structured (e.g., species is more easily detected in open fields than closed forests), the model will overestimate suitability in the areas where detectability is high and underestimate it in areas with low detectability (e.g., Gu & Swihart 2004). This affects both prediction and projection models.",Always,Sometimes,,,,Lahoz-Monfort et al. 2013; Tyre et al. 2003; Erickson & Smith 2021; Comte & Grenoulliet 2013; Gu & Swihart 2004
16.1,Prediction,"Data quality, relevance and preparation",Predictors datasets,Predictors resolution matches response scale (spatial),"The spatial resolution of predictors should match the resolution at which the response variable is affected by the predictors (Araújo et al. 2019, Wiens et al. 2010).  ","This criteria is violated by mismatches in spatial scales between the species responses and the predictor variables. Spatial mismatches typically happen in two directions: when predictors are too coarse to capture a fine-scale process (e.g., use of a coarse global climate variable to explain a species that is limited by microclimate availability; Chauvier et al. 2022), or when predictors are too fine to capture a broad landscape process (e.g., use of fine-scale vegetation cover data to explain a species that is limited by availability of contiguous forest cover). Lastly, Bradter et al. (2012) point out that a predictor may influence a species at more than one scale, so violation can also occur by ignoring potentially meaningful scales, or by the lack of available data at the relevant resolution (Guisan et al. 2017). ","Identify appropriate scales of predictors (e.g. Bradter et al. 2012)., Test relevant covariates at multiple scales.","When models are built using predictors that are too spatially coarse, overestimation of suitable areas is commonly reported due to the model smoothing over fine scale conditions that are suboptimal for the species (e.g., Anselmetto et al. 2025, Wiens et al. 2010). Although less discussed in the literature, models built using predictors that are too spatially coarse may also underestimate specialized requirements via the same over-smoothing mechanism, but instead, resulting in missed unique environmental tolerances (Guisan et al. 2017; also see criteria “Species data covers the environmental extent”). Alternatively, models built using predictors that are too spatially fine may result in highly fragmented and noisy distribution maps and thus underestimate suitability. This effect can be more pronounced in the case of projection models, amplified by differences between the training and extrapolated area and/or time (Manzoor et al. 2018). The magnitude of the prediction error, however, also depends on the magnitude of the deviations, with significant impacts expected beyond a 10-fold coarsening (Seo et al. 2008, Guisan et al. 2007). Additionally, resolution can interact with other processes, such as species niche breadth and landscape heterogeneity (e.g., Chauvier et al. 2022, Connor et al. 2017).",Sometimes,Sometimes,15,,15,Araújo et al. 2019; Wiens et al. 2010; Chauvier et al. 2022; Bradter et al. 2012; Guisan et al. 2017; Anselmetto et al. 2025; Manzoor et al. 2018; Seo et al. 2008; Guisan et al. 2007; Connor et al. 2017
16.1,Projection,"Data quality, relevance and preparation",Predictors datasets,Predictors resolution matches response scale (spatial),"The spatial resolution of predictors should match the resolution at which the response variable is affected by the predictors (Araújo et al. 2019, Wiens et al. 2010).  ","This criteria is violated by mismatches in spatial scales between the species responses and the predictor variables. Spatial mismatches typically happen in two directions: when predictors are too coarse to capture a fine-scale process (e.g., use of a coarse global climate variable to explain a species that is limited by microclimate availability; Chauvier et al. 2022), or when predictors are too fine to capture a broad landscape process (e.g., use of fine-scale vegetation cover data to explain a species that is limited by availability of contiguous forest cover). Lastly, Bradter et al. (2012) point out that a predictor may influence a species at more than one scale, so violation can also occur by ignoring potentially meaningful scales, or by the lack of available data at the relevant resolution (Guisan et al. 2017). ","Identify appropriate scales of predictors (e.g. Bradter et al. 2012)., Test relevant covariates at multiple scales.","When models are built using predictors that are too spatially coarse, overestimation of suitable areas is commonly reported due to the model smoothing over fine scale conditions that are suboptimal for the species (e.g., Anselmetto et al. 2025, Wiens et al. 2010). Although less discussed in the literature, models built using predictors that are too spatially coarse may also underestimate specialized requirements via the same over-smoothing mechanism, but instead, resulting in missed unique environmental tolerances (Guisan et al. 2017; also see criteria “Species data covers the environmental extent”). Alternatively, models built using predictors that are too spatially fine may result in highly fragmented and noisy distribution maps and thus underestimate suitability. This effect can be more pronounced in the case of projection models, amplified by differences between the training and extrapolated area and/or time (Manzoor et al. 2018). The magnitude of the prediction error, however, also depends on the magnitude of the deviations, with significant impacts expected beyond a 10-fold coarsening (Seo et al. 2008, Guisan et al. 2007). Additionally, resolution can interact with other processes, such as species niche breadth and landscape heterogeneity (e.g., Chauvier et al. 2022, Connor et al. 2017).",Always,Always,15,,15,Araújo et al. 2019; Wiens et al. 2010; Chauvier et al. 2022; Bradter et al. 2012; Guisan et al. 2017; Anselmetto et al. 2025; Manzoor et al. 2018; Seo et al. 2008; Guisan et al. 2007; Connor et al. 2017
16.2,Prediction,"Data quality, relevance and preparation",Predictors datasets,Predictors resolution matches response scale (temporal),"The temporal resolution of predictors should match the resolution at which the response variable is affected by the predictors (Araújo et al. 2019, Wiens et al. 2010).","This criteria is violated by mismatches in temporal scales between the species responses and the predictor variables. Temporal mismatches happen when long-term historical averages are used to predict responses driven by short-term events, or vice versa. For instance, a model that includes annual averages of predictor variables when aiming to predict distribution of a migratory species violates this criteria (Araújo et al. 2019, Zurell 2017). Additionally, Araújo et al. (2019) also point out that for species experiencing delayed responses to change, violation can occur when using predictor data from current time periods instead of historical estimates. Lastly, Bradter et al. (2012) point out that a predictor may influence a species at more than one scale, so violation can also occur by ignoring potentially meaningful scales, or by the lack of available data at the relevant resolution (Guisan et al. 2017).","Identify appropriate scales of predictors (e.g. Bradter et al. 2012)., Test relevant covariates at multiple scales.","Models that fail to account for important short-term events may overestimate suitability (Stewart et al. 2021), and models that incorrectly rely solely on long-term or average conditions may underestimate suitability (e.g., in the case of migratory species; Araújo et al. 2019, Batalden et al. 2007).",Always,Always,,,,Araújo et al. 2019; Wiens et al. 2010; Zurell 2017; Bradter et al. 2012; Guisan et al. 2017; Stewart et al. 2021; Batalden et al. 2007
16.2,Projection,"Data quality, relevance and preparation",Predictors datasets,Predictors resolution matches response scale (temporal),"The temporal resolution of predictors should match the resolution at which the response variable is affected by the predictors (Araújo et al. 2019, Wiens et al. 2010).","This criteria is violated by mismatches in temporal scales between the species responses and the predictor variables. Temporal mismatches happen when long-term historical averages are used to predict responses driven by short-term events, or vice versa. For instance, a model that includes annual averages of predictor variables when aiming to predict distribution of a migratory species violates this criteria (Araújo et al. 2019, Zurell 2017). Additionally, Araújo et al. (2019) also point out that for species experiencing delayed responses to change, violation can occur when using predictor data from current time periods instead of historical estimates. Lastly, Bradter et al. (2012) point out that a predictor may influence a species at more than one scale, so violation can also occur by ignoring potentially meaningful scales, or by the lack of available data at the relevant resolution (Guisan et al. 2017).","Identify appropriate scales of predictors (e.g. Bradter et al. 2012)., Test relevant covariates at multiple scales.","Models that fail to account for important short-term events may overestimate suitability (Stewart et al. 2021), and models that incorrectly rely solely on long-term or average conditions may underestimate suitability (e.g., in the case of migratory species; Araújo et al. 2019, Batalden et al. 2007).",Always,Always,,,,Araújo et al. 2019; Wiens et al. 2010; Zurell 2017; Bradter et al. 2012; Guisan et al. 2017; Stewart et al. 2021; Batalden et al. 2007
19,Prediction,"Data quality, relevance and preparation",Predictors datasets,Uncertainty in predictor variables is accounted for,"Uncertainty in predictor variables is an inherent factor of SDMs (McInerny & Purves 2011). Since it is essentially impossible to guarantee zero errors in mapped environmental predictors – which can be introduced in a variety of ways, including instrument measurement error, spatial scaling, geo-registration, interpolation (Araújo et al. 2019, McInerny & Purves 2011, Barry & Elith 2006) – SDMs should include quantification of sources of uncertainty. Ideally, modellers should quantify the effects of the relevant predictor uncertainties on SDM outputs; at a minimum, likely sources of uncertainty should be acknowledged and their possible effects on SDM results discussed (Araújo et al. 2019). Additionally, when using model products with inherent uncertainties (e.g., climate change models), those should also be accounted for (Cheaib et al. 2012).",This criteria is violated when modellers use predictor variables with no consideration of errors and uncertainty (Araújo et al. 2019).,Acknowledge modelers were unable to address this assumption.,"When uncertainties in predictor variables are unaccounted for, they can lead to bias in the estimates of the model's parameters. Specifically, when violation leads to a predictor variable that fails to capture fine-scale variation (i.e., attenuation bias) and the species is known to respond to particular conditions (e.g., a strict physiological temperature constraint), both underestimation and overestimation of suitable habitat is reported to occur in prediction and projection models owing to a flattened response curve (Stoklosa et al. 2015, McInerny & Purves 2011). In the same way that an overly smooth predictor layer can miss identifying specialized habitat requirements, thus leading to underestimation, it can also incorrectly associate species presences to other more widespread conditions, leading to overestimation. Violation can also lead to a loss of power (i.e., ability to determine which predictor variables are most important; Stoklosa et al. 2015) when there are strong spatial patterns in predictor variable errors. As the relationships between variables may change across space and/or time, this can also lead to prediction errors (Barry and Elith 2006). While ignoring predictor uncertainty introduces attenuation bias, the severity of its effect are likely to be weakened in the following cases: for prediction models where the uncertainty is systematic and uniform across the study area (Barry and Elith 2006); for generalist species with wide tolerances (Velásquez-Tibatá et al. 2016); when modeling biodiversity trends at ecoregional or continental scales (Seo et al. 2008). ",Sometimes,Sometimes,,,,McInerny & Purves 2011; Araújo et al. 2019; Barry & Elith 2006; Cheaib et al. 2012; Stoklosa et al. 2015; Velásquez-Tibatá et al. 2016; Seo et al. 2008
19,Projection,"Data quality, relevance and preparation",Predictors datasets,Uncertainty in predictor variables is accounted for,"Uncertainty in predictor variables is an inherent factor of SDMs (McInerny & Purves 2011). Since it is essentially impossible to guarantee zero errors in mapped environmental predictors – which can be introduced in a variety of ways, including instrument measurement error, spatial scaling, geo-registration, interpolation (Araújo et al. 2019, McInerny & Purves 2011, Barry & Elith 2006) – SDMs should include quantification of sources of uncertainty. Ideally, modellers should quantify the effects of the relevant predictor uncertainties on SDM outputs; at a minimum, likely sources of uncertainty should be acknowledged and their possible effects on SDM results discussed (Araújo et al. 2019). Additionally, when using model products with inherent uncertainties (e.g., climate change models), those should also be accounted for (Cheaib et al. 2012).",This criteria is violated when modellers use predictor variables with no consideration of errors and uncertainty (Araújo et al. 2019).,Acknowledge modelers were unable to address this assumption.,"When uncertainties in predictor variables are unaccounted for, they can lead to bias in the estimates of the model's parameters. Specifically, when violation leads to a predictor variable that fails to capture fine-scale variation (i.e., attenuation bias) and the species is known to respond to particular conditions (e.g., a strict physiological temperature constraint), both underestimation and overestimation of suitable habitat is reported to occur in prediction and projection models owing to a flattened response curve (Stoklosa et al. 2015, McInerny & Purves 2011). In the same way that an overly smooth predictor layer can miss identifying specialized habitat requirements, thus leading to underestimation, it can also incorrectly associate species presences to other more widespread conditions, leading to overestimation. Violation can also lead to a loss of power (i.e., ability to determine which predictor variables are most important; Stoklosa et al. 2015) when there are strong spatial patterns in predictor variable errors. As the relationships between variables may change across space and/or time, this can also lead to prediction errors (Barry and Elith 2006). While ignoring predictor uncertainty introduces attenuation bias, the severity of its effect are likely to be weakened in the following cases: for prediction models where the uncertainty is systematic and uniform across the study area (Barry and Elith 2006); for generalist species with wide tolerances (Velásquez-Tibatá et al. 2016); when modeling biodiversity trends at ecoregional or continental scales (Seo et al. 2008). ",Always,Always,,,,McInerny & Purves 2011; Araújo et al. 2019; Barry & Elith 2006; Cheaib et al. 2012; Stoklosa et al. 2015; Velásquez-Tibatá et al. 2016; Seo et al. 2008
21.1,Prediction,Model building,Model settings/complexity,Model complexity and structure are appropriate (under fit models),"Building an SDMs involves fitting a correlative relationship between the biological occurrence data and predictor variables, described by a model approach, structure and parameters. Complex models may perform better when the goal is to explain the data; but when predicting or projecting, overly complex models can lead to overfitting and poor robustness and accuracy (Brun et al. 2019, Merow et al. 2014, Braunisch et al. 2013; but also see Evans et al. 2013). Therefore, the choice of model complexity should be carefully assessed and alternatives compared (Araújo et al. 2019,, Merow et al. 2014).","This criteria can be violated both by building ‘under fit’ models – where simplifications are made in the formulation, structure and complexity of the model – or ‘over fit’ models – excessively flexible and overly complex. This can also happen through violation of the criteria “Statistical methods and algorithms employed are appropriate” and/or “Predictor variables are appropriately reduced, if applicable”. For the special case of ‘under fit’ models due to missing key predictors, see criteria “Species data covers the environmental extent”.","Comparing a range of models (predictive performance) & response shapes (Ramampiandra et al. 2023)., Acknowledge modelers were unable to address this assumption.","‘Under fit’ models are commonly related to overestimation of suitable habitat as they fail to appropriately capture species-environmental relationships (e.g., a linear model fails to represent commonly unimodal relationships to temperature). In turn, the special case of ‘under fit’ models due to missing key predictors can lead to underestimation due to the niche truncation (Guisan et al. 2025, Dubos et al. 2022, Chevalier et al. 2021). These prediction errors apply to both prediction and projection models.",Sometimes,Sometimes,"12, 26, 27, 29, 33",,"12, 26, 27, 29, 33",Brun et al. 2019; Merow et al. 2014; Braunisch et al. 2013; Evans et al. 2013; Araújo et al. 2019; Ramampiandra et al. 2023; Guisan et al. 2025; Dubos et al. 2022; Chevalier et al. 2021
21.1,Projection,Model building,Model settings/complexity,Model complexity and structure are appropriate (under fit models),"Building an SDMs involves fitting a correlative relationship between the biological occurrence data and predictor variables, described by a model approach, structure and parameters. Complex models may perform better when the goal is to explain the data; but when predicting or projecting, overly complex models can lead to overfitting and poor robustness and accuracy (Brun et al. 2019, Merow et al. 2014, Braunisch et al. 2013; but also see Evans et al. 2013). Therefore, the choice of model complexity should be carefully assessed and alternatives compared (Araújo et al. 2019,, Merow et al. 2014).","This criteria can be violated both by building ‘under fit’ models – where simplifications are made in the formulation, structure and complexity of the model – or ‘over fit’ models – excessively flexible and overly complex. This can also happen through violation of the criteria “Statistical methods and algorithms employed are appropriate” and/or “Predictor variables are appropriately reduced, if applicable”. For the special case of ‘under fit’ models due to missing key predictors, see criteria “Species data covers the environmental extent”.","Comparing a range of models (predictive performance) & response shapes (Ramampiandra et al. 2023)., Acknowledge modelers were unable to address this assumption.","‘Under fit’ models are commonly related to overestimation of suitable habitat as they fail to appropriately capture species-environmental relationships (e.g., a linear model fails to represent commonly unimodal relationships to temperature). In turn, the special case of ‘under fit’ models due to missing key predictors can lead to underestimation due to the niche truncation (Guisan et al. 2025, Dubos et al. 2022, Chevalier et al. 2021). These prediction errors apply to both prediction and projection models.",Sometimes,Sometimes,"12, 26, 27, 29",,"12, 26, 27, 29",Brun et al. 2019; Merow et al. 2014; Braunisch et al. 2013; Evans et al. 2013; Araújo et al. 2019; Ramampiandra et al. 2023; Guisan et al. 2025; Dubos et al. 2022; Chevalier et al. 2021
21.2,Prediction,Model building,Model settings/complexity,Model complexity and structure are appropriate (over fit models),"The Eltonian noise hypothesis states that local biotic interactions do not alter species’ environmental niches at larger scales, only introduce statistical noise. Instead, species niche is assumed to be dominantly determined by climate (Soley-Guardia et al. 2024). Most SDMs rely on this hypothesis and thus, often only include abiotic variables as predictors. Yet, biotic interactions are among the reasons why a species may not be at equilibrium with their environment (Richmond et al. 2010, Jeschke & Strayer 2008).","There is growing evidence that this assumption can be frequently violated, supported by improved SDMs when biotic interactions are included (e.g., Fern et al. 2019, Boulangeat et al. 2012, Godsoe & Harmon 2012, Suttle et al. 2007). In some cases (e.g., boreal caribou, wolf, and moose; Boutin et al. 2012), there is evidence that competition and/or predation restrict the distribution of species (Poggiato et al. 2025). In other cases, it is clear that mutualism and/or symbiosis allow species to persist. By ignoring biotic interactions, SDMs may capture the Grinnellian (fundamental bioclimatic) niche instead of the Eltonian (realized biotic) niche (Soley-Guardia et al. 2024). However, Godsoe & Harmon (2012) highlight that violation of this assumption is not universal. Instead, it depends on the species, type of biotic interaction, and modelling method (Araújo & Luoto 2007). Additionally, the chances of violating this criteria increase with the extent of the study region (Soley-Guardia et al. 2024).","Comparing a range of models (predictive performance) & response shapes (Ramampiandra et al. 2023)., Acknowledge modelers were unable to address this assumption.",‘Over fit’ prediction models often lead to underestimation of suitable habitat by ascribing pattern to noise and resulting in highly specific species-environmental relationships (Merow et al. 2014).,Always,Rarely,"12, 26, 27, 29, 33",,"12, 26, 27, 29, 33",Soley-Guardia et al. 2024; Richmond et al. 2010; Jeschke & Strayer 2008; Fern et al. 2019; Boulangeat et al. 2012; Godsoe & Harmon 2012; Suttle et al. 2007; Boutin et al. 2012; Poggiato et al. 2025; Araújo & Luoto 2007; Ramampiandra et al. 2023; Merow et al. 2014
